country,country_code,#,pos,player_name,first_names,last_names,name_on_shirt,dob,age,club,height_cm,caps,goals,player_image_url
Algeria,ALG,22,MF,MAZA Ibrahim,Ibrahim,MAZA,MAZA,24/11/2005,20,Bayer 04 Leverkusen (GER),180,18,2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1fYKIH5E1fNxH0__3pjZqBvRWEIttrUg4pGYlbeq6UQ&s=10
Argentina,ARG,8,MF,BARCO Valentin,Valentin,BARCO,BARCO,23/07/2004,21,RC Strasbourg (FRA),172,4,2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1fYKIH5E1fNxH0__3pjZqBvRWEIttrUg4pGYlbeq6UQ&s=10
Argentina,ARG,18,FW,PAZ Nico,Nicolas,PAZ MARTÍNEZ,NICO PAZ,08/09/2004,21,Como (ITA),185,10,1,https://png.pngtree.com/png-vector/20250909/ourlarge/pngtree-focused-footballer-silhouette-in-action-preparing-to-kick-the-ball-png-image_17376673.webp
Australia,AUS,17,FW,IRANKUNDA Nestory,Nestory,IRANKUNDA,IRANKUNDA,09/02/2006,20,Watford FC (ENG),165,16,6,https://png.pngtree.com/png-vector/20250909/ourlarge/pngtree-focused-footballer-silhouette-in-action-preparing-to-kick-the-ball-png-image_17376673.webp
Australia,AUS,24,MF,OKON-ENGSTLER Paul,Paul Michael Junior,OKON-ENGSTLER,OKON-ENGSTLER,24/01/2005,21,Sydney FC (AUS),185,7,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1fYKIH5E1fNxH0__3pjZqBvRWEIttrUg4pGYlbeq6UQ&s=10
Australia,AUS,25,DF,HERRINGTON Lucas,Lucas,HERRINGTON,HERRINGTON,05/09/2007,18,Colorado Rapids (USA),193,4,0,https://png.pngtree.com/recommend-works/png-clipart/20250422/ourlarge/pngtree-silhouette-dribbling-football-player-png-image_16056964.png
Austria,AUT,24,MF,WANNER Paul,Paul,WANNER,WANNER,23/12/2005,20,PSV Eindhoven (NED),185,4,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1fYKIH5E1fNxH0__3pjZqBvRWEIttrUg4pGYlbeq6UQ&s=10
Belgium,BEL,13,GK,PENDERS Mike,Mike Louis,PENDERS,PENDERS,31/07/2005,20,RC Strasbourg (FRA),200,0,0,https://www.citypng.com/public/uploads/preview/free-football-goal-keeper-black-silhouette-png-704081694878919l9wkwqlmuo.png
Belgium,BEL,18,DF,SEYS Joaquin,Joaquin Ronny,SEYS,SEYS,28/03/2005,21,Club Brugge (BEL),178,5,0,https://png.pngtree.com/recommend-works/png-clipart/20250422/ourlarge/pngtree-silhouette-dribbling-football-player-png-image_16056964.png
Belgium,BEL,19,MF,MOREIRA Diego,Diego Manuel J,DA SILVA MOREIRA,MOREIRA JR,06/08/2004,21,RC Strasbourg (FRA),179,3,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1fYKIH5E1fNxH0__3pjZqBvRWEIttrUg4pGYlbeq6UQ&s=10
Belgium,BEL,26,FW,FERNANDEZ-PARDO Matias,Matias,FERNANDEZ-PARDO,FERNANDEZ-PARDO,03/02/2005,21,Lille OSC (FRA),188,3,0,https://png.pngtree.com/png-vector/20250909/ourlarge/pngtree-focused-footballer-silhouette-in-action-preparing-to-kick-the-ball-png-image_17376673.webp
Bosnia And Herzegovina,BIH,12,GK,JURKAS Mladen,Mladen,JURKAS,JURKAS,07/10/2007,18,FK Borac Banja Luka (BIH),193,0,0,https://www.citypng.com/public/uploads/preview/free-football-goal-keeper-black-silhouette-png-704081694878919l9wkwqlmuo.png
Bosnia And Herzegovina,BIH,19,FW,ALAJBEGOVIC Kerim,Kerim,ALAJBEGOVIĆ,ALAJBEGOVIĆ,21/09/2007,18,FC Red Bull Salzburg (AUT),186,12,1,https://png.pngtree.com/png-vector/20250909/ourlarge/pngtree-focused-footballer-silhouette-in-action-preparing-to-kick-the-ball-png-image_17376673.webp
Bosnia And Herzegovina,BIH,20,FW,BAJRAKTAREVIC Esmir,Esmir,BAJRAKTAREVIĆ,BAJRAKTAREVIĆ,10/03/2005,21,PSV Eindhoven (NED),175,18,1,https://png.pngtree.com/png-vector/20250909/ourlarge/pngtree-focused-footballer-silhouette-in-action-preparing-to-kick-the-ball-png-image_17376673.webp
Bosnia And Herzegovina,BIH,24,DF,MALIC Arjan,Arjan,MALIĆ,MALIĆ,28/08/2005,20,SK Sturm Graz (AUT),188,8,0,https://png.pngtree.com/recommend-works/png-clipart/20250422/ourlarge/pngtree-silhouette-dribbling-football-player-png-image_16056964.png
Bosnia And Herzegovina,BIH,26,MF,MAHMIC Ermin,Ermin,MAHMIĆ,MAHMIĆ,14/03/2005,21,FC Slovan Liberec (CZE),182,3,1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1fYKIH5E1fNxH0__3pjZqBvRWEIttrUg4pGYlbeq6UQ&s=10
